organisation,address,name
Curriculum Planning & Development Division,WOODLANDS ST 83,
Singapore Examinations and Assessment Board,YISHUN AVE 4,
Singapore Customs,TAMPINES ST 83,
Singapore. Customs and Excise,TAMPINES ST 83,
Singapore Dance Theatre,JURONG WEST ST 81,
Singapore DanceSport Federation,TAMPINES ST 83,
Singapore Darts Association,WOODLANDS ST 83,
Defence Science & Technology Agency,YISHUN AVE 4,
Singapore Democratic Alliance,TAMPINES ST 83,
Singapore Democratic Party,TAMPINES ST 83,
Singapore Dental Association,JURONG WEST ST 81,
Singapore Dental Council,TAMPINES ST 83,
Singapore Dental Health Foundation,WOODLANDS ST 83,
Department of Civil Aviation,YISHUN ST 81,
Department of Education,JURONG WEST ST 81,
Department of Forensic Medicine,JURONG WEST ST 81,
Department of Information Services,TAMPINES ST 83,
Department of Pathology,WOODLANDS ST 83,
Department of Scientific Services,YISHUN ST 81,
Department of Statistics,TAMPINES ST 83,
Singapore Deposit Insurance Corporation,WOODLANDS ST 83,
Singapore Dikir Barat Federation,TAMPINES ST 83,
Singapore Disability Sports Council,WOODLANDS ST 83,
Economic Development Board,YISHUN ST 81,
Educational Technology Division,TAMPINES ST 83,
Singapore Educational Television Service,TAMPINES ST 83,
Elections Department,WOODLANDS ST 83,
Electoral Boundaries Review Committee,YISHUN ST 81,
Singapore Employers Federation,TAMPINES AVE 8,
Energy Market Authority,TAMPINES AVE 8,
Singapore Environment Institute,TAMPINES AVE 8,
Excise Department,TAMPINES AVE 8,
Singapore Exhibition & Convention Bureau,TAMPINES ST 83,
The Singapore Experience Pte Ltd,WOODLANDS ST 83,
Singapore Eye Research Institute,TAMPINES AVE 8,
Singapore Factory and Shop Workers Union,TAMPINES AVE 8,
Family Justice Courts,TAMPINES AVE 8,
Singapore Family Planning and Population Board,BEDOK NTH ST 4,
Singapore Fashion Council,C'WEALTH CL,
Singapore Federation of Trade Unions,CIRCUIT RD,
Singapore Federation of Unions of Government Employees,DAWSON RD,
Singapore Film Commission,MARINE PARADE CTRL,
Singapore FinTech Association,REDHILL CL,
Singapore Fire Brigade,TELOK BLANGAH HTS,
Singapore Fire Service,WHAMPOA DR,
Singapore Fish Merchants' General Association,ZION RD,
Singapore Florist Association,TAMPINES ST 83,
Singapore Flying Club,WOODLANDS ST 81,
Singapore Foochow Association,YISHUN ST 81,
Singapore Foochow Dionglok Association,TAMPINES ST 86,
Singapore Foochow Ngee Su Wong Clan Association,TAMPINES ST 86,
Singapore Food Agency,TAMPINES ST 86,
Singapore Football Association,TAMPINES ST 84,
Singapore Foreign Exchange Market Committee,WOODLANDS ST 81,
Singapore Free School,YISHUN ST 81,
Singapore Furniture Association,TAMPINES ST 84,
Singapore Furniture Dealers' Association,TAMPINES ST 86,
Singapore Furniture Manufacturers' and Traders' Association,TAMPINES ST 86,
Singapore Hoon Yong Kong Huay,TAMPINES ST 84,
Singapore Futsing Association,WOODLANDS ST 81,
Singapore Gardening Society,YISHUN ST 81,
Singapore Gasing Federation,TAMPINES ST 86,
Singapore General Hospital,TAMPINES ST 86,
Singapore General Labour Union,TAMPINES ST 86,
Singapore Girl Pipers,TAMPINES ST 84,
Singapore Girls' Buddhist Institute,WOODLANDS ST 81,
Singapore Glass,YISHUN ST 81,
Singapore Glass Manufacturers,TAMPINES ST 85,
Singapore Gnoh Kung Association,TAMPINES ST 85,
Singapore Golf Club,TAMPINES ST 84,
Government Printing Office,WOODLANDS ST 82,
Singapore Government Staff Credit Co-Operative Society,YISHUN ST 81,
Singapore GP Pte Ltd,TAMPINES ST 84,
Singapore Green Building Council,WOODLANDS ST 82,
Singapore Gujarati Society,TAMPINES ST 85,
Singapore Gujarati Youth Association,TAMPINES ST 85,
Singapore Gymnastics,TAMPINES ST 85,
Singapore Hainan Hwee Kuan,TAMPINES ST 84,
Singapore Hakka Wong Association,WOODLANDS ST 82,
Singapore Han Clan Association,YISHUN ST 81,
Singapore Han Clan Temple,TAMPINES ST 86,
Singapore Harbour Board,TAMPINES ST 86,
Singapore Harbour Board Workers' Union,TAMPINES ST 84,
Hawkers Department,WOODLANDS AVE 9,
Health Promotion Board,YISHUN ST 81,
Health Sciences Authority,TAMPINES AVE 8,
Singapore Heart Foundation,TAMPINES AVE 8,
Heritage Conservation Centre,TAMPINES AVE 8,
Singapore Heritage Society,TAMPINES ST 84,
High Court,WOODLANDS AVE 9,
Singapore History Museum,YISHUN ST 81,
Singapore Ho See Seng Tong,TAMPINES AVE 8,
Singapore Hockey Association,WOODLANDS AVE 9,
Singapore Hockey Federation,YISHUN ST 81,
Singapore Hok San Association,TAMPINES AVE 8,
Singapore Hokkien Huay Kuan Arts & Cultural Troupe,TAMPINES AVE 8,
Singapore Hokkien Huay Kuan,TAMPINES AVE 8,
Singapore Hokkien Yeo See Association,TAMPINES AVE 8,
Home Team Academy,WOODLANDS ST 82,
Singapore Hospice Council,YISHUN ST 81,
Singapore Hotel and Tourism Education Centre,TAMPINES AVE 8,
Singapore Hotel Association,TAMPINES AVE 8,
Singapore House of Wax (Pte) Ltd,TAMPINES AVE 8,
Housing and Development Board,TAMPINES AVE 8,
Singapore Housing & Development Board Workers' Union,BEDOK NTH ST 4,
Singapore Hui Ann Association,C'WEALTH CL,
Singapore I-Lien Drama Society,CIRCUIT RD,
Singapore Ice Hockey Association,DAWSON RD,
Singapore Ice Skating Association,JLN SATU,
Immigration & Checkpoints Authority,REDHILL CL,
Singapore Improvement Trust,TANGLIN HALT RD,
Singapore Indian Artistes' Association,TELOK BLANGAH HTS,
Singapore Indian Association,WHAMPOA DR,
Singapore Indian Chamber of Commerce,DAWSON RD,
Singapore Indian Chamber of Commerce and Industry,JLN SATU,
Singapore Indian Education Trust,REDHILL CL,
Singapore Indian Fine Arts Society,TELOK BLANGAH HTS,
Singapore Indian Orchestra and Choir,JLN SATU,
Singapore Indian Theatre and Film Explorers,JLN SATU,
Singapore Industrial & Services Employees' Union,TAMPINES AVE 8,
Industrial Arbitration Court,WOODLANDS ST 82,
Singapore Infantry Regiment Band,YISHUN ST 81,
Infocomm Media Development Authority,TAMPINES AVE 8,
Singapore Judo Club,TAMPINES ST 84,
Singapore Institute of Aerospace Engineers,WOODLANDS ST 82,
The Singapore Institute of Arbitrators,WOODLANDS ST 82,
Singapore Institute of Biology,TAMPINES ST 84,
Singapore Institute of Food Science and Technology,WOODLANDS ST 82,
Singapore Institute of International Affairs,TAMPINES ST 83,
Singapore Institute of Labour Studies,TAMPINES ST 84,
Singapore Institute of Landscape Architects,WOODLANDS ST 82,
Singapore Institute of Legal Education,WOODLANDS ST 82,
Singapore Institute of Materials Management,TAMPINES ST 83,
Singapore Institute of Retail Studies,TAMPINES ST 83,
Singapore Institute of Science,TAMPINES ST 83,
Institute of Science and Forensic Medicine,TAMPINES ST 83,
Singapore Institute of Surveyors,WOODLANDS DR 50,
Singapore Institute of Surveyors and Valuers,TAMPINES ST 83,
Singapore Institute of Technology,WOODLANDS DR 50,
Singapore Institution,WOODLANDS DR 50,
Singapore Institution Free School,WOODLANDS DR 50,
Singapore Insurance Agents Association,WOODLANDS DR 50,
Singapore Insurance Brokers Association,TAMPINES ST 81,
Singapore Insurance Employees' Union,WOODLANDS DR 50,
Singapore Insurance Institute,TAMPINES ST 81,
Singapore Insurance Training Centre,WOODLANDS DR 50,
Internal Security Department,WOODLANDS DR 50,
Singapore International Arbitration Centre,WOODLANDS DR 50,
Singapore International Chamber of Commerce,TAMPINES ST 81,
Singapore International Commercial Court,WOODLANDS DR 50,
Singapore International Commercial Court Committee,TAMPINES ST 81,
Singapore International Dispute Resolution Academy,WOODLANDS DR 50,
Singapore International Media,TAMPINES ST 81,
Singapore International Mediation Centre,WOODLANDS DR 50,
Singapore International Mediation Institute,TAMPINES ST 81,
Singapore International Monetary Exchange,WOODLANDS DR 50,
Singapore International School,WOODLANDS DR 50,
Singapore Interpreters' and Translators' Union,WOODLANDS DR 50,
IP Steering Committee,WOODLANDS DR 50,
Singapore Island Country Club,BEDOK NTH ST 4,
Ista,C'WEALTH DR,
Singapore Jain Religious Society,CIRCUIT RD,
Singapore Jaycees Orchid Chapter,DAWSON RD,
Singapore Jayceettes,MARINE PARADE CTRL,
Singapore Jewellers Association,REDHILL CL,
Singapore Ji Yang Cai Clan Association,TANGLIN HALT RD,
Singapore Jin Hoe Lian Ghee Sia,WHAMPOA DR,
Singapore Junior Symphony Orchestra,DAWSON RD,
Singapore Kadayanallur Muslim Co-operative,TAMPINES AVE 1,
Singapore Karate Association,WOODLANDS DR 50,
Singapore Kennel Club,TAMPINES AVE 1,
Singapore Khek Community Wong Clan Association,WOODLANDS DR 50,
Singapore Kheng Keow Heng Clan Association,TAMPINES AVE 1,
Singapore Kite Association,WOODLANDS DR 50,
Singapore Kityang Huay Kwan,TAMPINES AVE 1,
Singapore Kiung Chow Hwee Kuan,TAMPINES AVE 1,
Singapore Kiung Jai Chew Say Kong Hui,TAMPINES AVE 8,
Singapore Kiung Jai Ho Clan Association,TAMPINES AVE 8,
Singapore Koh Clan Association,WOODLANDS DR 50,
Singapore Koh Yiu Wooi Kwoon,TAMPINES AVE 8,
Society of Project Managers,WOODLANDS DR 50,
Singapore Kong Chow Wui Koon,WOODLANDS DR 50,
Singapore Ku Seng Kun,TAMPINES AVE 8,
Singapore Kwangtung Hui Kuan,TAMPINES AVE 8,
Singapore Kwong Siew Woo Clan Friendly Association,WOODLANDS DR 50,
Singapore Kwong Wai Siew Peck San Theng,WOODLANDS DR 50,
Singapore Labour Foundation,WOODLANDS DR 50,
Singapore Labour Party,TAMPINES AVE 8,
Singapore Lam Ann Association,WOODLANDS DR 50,
Singapore Lam Clan Association,TAMPINES AVE 8,
Singapore Land & Housing Developers’ Association,WOODLANDS DR 50,
Singapore Land Authority,WOODLANDS DR 50,
Singapore Land Group,WOODLANDS DR 50,
Singapore Land Limited,WOODLANDS DR 50,
Land Office,TAMPINES ST 81,
Land Transport Authority,TAMPINES ST 81,
Singapore Lee Clan General Association,WOODLANDS DR 50,
Legal Aid Bureau,WOODLANDS DR 50,
Legal Service Commission,WOODLANDS DR 50,
Legislative Assembly,WOODLANDS DR 50,
Legislative Council,TAMPINES ST 81,
Singapore Leong Khay Huay Kuan,TAMPINES ST 81,
The Singapore Liang Hu Hui Kuan,WOODLANDS DR 50,
Singapore Life Saving Society,WOODLANDS DR 50,
Singapore Lim See Tai Chong Soo Kiu Leong Tong Family Self-Management Association,WOODLANDS DR 50,
Singapore Linguistic Society,WOODLANDS DR 50,
Singapore Literature Society,WOODLANDS DR 50,
Singapore LNG Corporation,TAMPINES ST 81,
Singapore Logistics Association,TAMPINES ST 81,
Singapore Loh Kang Ho Clan Association,WOODLANDS DR 50,
Singapore Loh Yue Chiong Thong,WOODLANDS DR 50,
Singapore Loo Clan Association,WOODLANDS DR 50,
Singapore Lung-Yen Hui Kuan,TAMPINES ST 81,
Singapore Lyric Opera,TAMPINES ST 81,
Singapore Lyric Theatre,WOODLANDS DR 50,
Singapore Malay Football Association,WOODLANDS DR 50,
Singapore Malay Football Club,WOODLANDS DR 50,
Singapore Malay Language Teachers' Association,WOODLANDS DR 50,
Singapore Malay National Organisation,WOODLANDS DR 50,
Singapore Malay Teachers' Co-operative,TAMPINES ST 81,
Singapore Malayalee Hindu Samajam,TAMPINES ST 81,
Malayanisation Commission,WOODLANDS DR 50,
Management Services Department,WOODLANDS DR 50,
Management Services Unit,TAMPINES ST 81,
Singapore Management University,TAMPINES ST 81,
Singapore Manual & Mercantile Workers' Union,WOODLANDS DR 50,
Singapore Manufacturing Federation,WOODLANDS DR 50,
Marine Department,WOODLANDS DR 50,
Singapore Mariners' Club,BEDOK STH AVE 2,
Singapore Maritime Officers' Union,BOON KENG RD,
Master Attendant's Office,CANTONMENT CL,
Singapore Master Tailors' Association,EUNOS CRES,
Singapore Mathematical Society,GLOUCESTER RD,
Media Development Authority,HAIG RD,
Singapore Mediation Centre,HOLLAND AVE,
Singapore Medical Association,JLN RUMAH TINGGI,
Singapore Medical College Graduates’ Association,JLN BATU,
Singapore Medical Council,JLN KUKOH,
MediShield Life Review Committee,JOO SENG RD,
Singapore Merchant Tailors' Association,LOR 7 TOA PAYOH,
Singapore Metal and Machinery Association,MARSILING DR,
Meteorological Service Singapore,NTH BRIDGE RD,
Singapore Metrication Board,PASIR RIS CTRL,
Singapore Miao Hua Chinese Art Society,PINE CL,
Singapore Military Forces Staff Band,SELEGIE RD,
Ministry of Communications (1968-1985),ST. GEORGE'S RD,
Ministry of Communications (1990-1999),TECK WHYE LANE,
Ministry of Communications and Information,TELOK BLANGAH CRES,
Ministry of Communications & Information Technology,TOH YI DR,
Ministry of Community Development,BOON TIONG RD,
Ministry of Community Development and Sports,JOO SENG RD,
"Ministry of Community Development, Youth and Sports",SELEGIE RD,
Ministry of Culture,BOON TIONG RD,
"Ministry of Culture, Community and Youth",BOON TIONG RD,
Ministry of Defence,BEDOK NTH ST 4,
Ministry of Digital Development and Information,C'WEALTH DR,
Ministry of Education,DAWSON RD,
Ministry of Finance,JLN SATU,
Ministry of Foreign Affairs,PIPIT RD,
Ministry of Health,REDHILL CL,
Ministry of Home Affairs,TANGLIN HALT RD,
"Ministry of Information, Communications and the Arts",TELOK BLANGAH ST 31,
Ministry of Labour and Law,WHAMPOA DR,
Ministry of Labour and Welfare,JLN SATU,
Ministry of Law,TELOK BLANGAH ST 31,
Ministry of Law and National Development,JLN SATU,
"Ministry of Local Government, Lands and Housing",TELOK BLANGAH ST 31,
Ministry of Manpower,STH WOODLANDS DR,
Ministry of National Development,JURONG WEST ST 91,
Ministry of Science and Technology,JURONG WEST ST 91,
Ministry of Social Affairs,TAMPINES AVE 4,
Ministry of Social and Family Development,JURONG WEST ST 91,
Ministry of Sustainability and the Environment,TAMPINES AVE 4,
Ministry of Environment,JURONG WEST ST 91,
Ministry of the Environment and Water Resources,JURONG WEST ST 91,
Ministry of Trade & Industry,JURONG WEST ST 91,
Ministry of Transport,TAMPINES AVE 4,
Singapore-MIT Alliance for Research and Technology,JURONG WEST ST 91,
Singapore Modern Pentathlon Association,TAMPINES AVE 4,
Singapore Motor Cycle Trade Association,JURONG WEST ST 91,
Singapore Motor Sports Association,TAMPINES AVE 4,
Singapore Motor Sports Club,HOUGANG ST 91,
Municipal Council,JURONG WEST ST 91,
Singapore Nanyang Chang Chow Ten Districts Association,TAMPINES AVE 4,
Singapore Nanyang Khek Community Pow Soo Association,HOUGANG ST 91,
Singapore National Academy of Science,BEDOK NTH ST 4,
National Climate Change Secretariat,C'WEALTH DR,
Singapore National Commission for UNESCO,DAWSON RD,
National Council of Social Service,HENDERSON RD,
Singapore National Employers' Federation,JLN SATU,
National Environment Agency,LOR 3 TOA PAYOH,
Singapore National Eye Centre,PAYA LEBAR WAY,
National Heritage Board,TANGLIN HALT RD,
Singapore National Institute of Chemistry,TELOK BLANGAH ST 31,
National Library Board,JLN SATU,
Singapore National Orchestra,TANGLIN HALT RD,
National Productivity Board,TELOK BLANGAH ST 31,
National Research Foundation,JLN SATU,
National Science & Technology Board,TELOK BLANGAH ST 31,
National Security Coordination Secretariat,HOUGANG ST 91,
Singapore National Shipping Association,JURONG WEST ST 91,
Singapore National Stroke Association,TAMPINES ST 91,
Singapore National Union of Journalists,HOUGANG ST 91,
Singapore National Wushu Federation,JURONG WEST ST 91,
Singapore National Youth Chinese Orchestra,TAMPINES ST 91,
Singapore National Youth Orchestra,HOUGANG ST 91,
Singapore Natural History Society,JURONG WEST ST 91,
Singapore Naval Volunteer Force,TAMPINES ST 91,
Republic of Singapore Navy,HOUGANG ST 91,
Singapore Network Information Centre,JURONG WEST ST 91,
Singapore News and Publications,TAMPINES ST 91,
Singapore Nichiren Shoshu Buddhist Association,HOUGANG ST 91,
Singapore Nomura Banking Limited,JURONG WEST ST 91,
Singapore North Indian Hindu Association,TAMPINES ST 91,
Singapore Numismatic Association,HOUGANG ST 91,
Singapore Nursing Board,JURONG WEST ST 91,
Singapore Nutrition and Dietetics Association,TAMPINES ST 91,
Singapore Optical Trade Association,HOUGANG AVE 9,
Singapore. Oral History Department,JURONG WEST ST 91,
Singapore Paddle Club,TAMPINES ST 91,
Singapore Pakistan League,HOUGANG AVE 9,
Singapore Pang Clan Association,JURONG WEST ST 91,
Parks & Recreation Department,HOUGANG AVE 9,
Parliament of Singapore,JURONG WEST ST 91,
Estimates Committee,HOUGANG AVE 9,
Parliament Secretariat,HOUGANG AVE 4,
Presidential Council for Minority Rights,JURONG WEST ST 91,
Public Accounts Committee,HOUGANG AVE 4,
Singapore Pastoral Institute,BEDOK NTH AVE 4,
Singapore People's Alliance,C'WEALTH DR,
Singapore People's Anti-British League,DAWSON RD,
Singapore People's Association Band,HENDERSON RD,
Singapore People's Party,JLN SATU,
Singapore Permanent Hair Waving Employers' Association,LOR 4 TOA PAYOH,
Singapore Petanque and Sports Boules Federation,PIPIT RD,
Singapore Petanque Federation,TELOK BLANGAH ST 31,
Singapore Petroleum Company,WHAMPOA DR,
Singapore Pharmacy Board,JLN SATU,
Singapore Pharmacy Council,PIPIT RD,
Singapore Philatelic Bureau,TELOK BLANGAH ST 31,
Singapore Philatelic Museum,TELOK BLANGAH ST 31,
Singapore Phonogram & Videogram Association,HOUGANG ST 91,
Singapore Phonogram Association,JURONG WEST ST 92,
Singapore Phor Tiong Koh Peng Association,HOUGANG ST 91,
Singapore Photographic & Digital Imaging Trade Association,JURONG WEST ST 92,
Singapore Photographic Trade Association,TAMPINES ST 91,
Singapore Physical Education Association,TAMPINES ST 91,
Singapore Physiotherapy Association,HOUGANG ST 91,
Singapore Pickle-Ball Association,JURONG WEST ST 92,
Singapore Piece Goods Traders' Guild,TAMPINES ST 91,
Singapore Ping Sheh,HOUGANG AVE 9,
Singapore Po Leung Kuk,JURONG WEST ST 92,
Singapore Police Co-operative Society Limited,HOUGANG ST 91,
Singapore Police Force,HOUGANG AVE 9,
Singapore Police Force Band,JURONG WEST ST 92,
Singapore Police Multi-Purpose Co-operative Society Ltd,TAMPINES ST 91,
Singapore Polo Club,HOUGANG ST 91,
Singapore Polytechnic,JURONG WEST ST 92,
Singapore Polytechnic Students' Union,TAMPINES ST 91,
Singapore Pools,YISHUN CTRL 1,
Singapore Poon Yue Association,HOUGANG ST 91,
Singapore Port Workers Union,HOUGANG ST 91,
Singapore Post Office Savings Bank,JURONG WEST ST 92,
Singapore Power,TAMPINES ST 91,
Preservation of Monuments Board,YISHUN CTRL 1,
Presidential Elections Committee,HOUGANG ST 91,
Singapore Press Holdings,TAMPINES ST 91,
Singapore Press Holdings Employees' Union,YISHUN CTRL 1,
Primary Production Department,HOUGANG ST 91,
Prime Minister's Office,JURONG WEST ST 92,
"Strategy Group, Prime Minister's Office",TAMPINES ST 91,
Singapore Printers' Union,YISHUN CTRL 1,
Singapore Printing Employees' Union,HOUGANG ST 91,
Singapore Prison Service,JURONG WEST ST 92,
Prison Welfare Service,TAMPINES ST 91,
Prisons Department,BEDOK NTH AVE 4,
Productivity and Standards Board,C'WEALTH DR,
Professional Engineers Board,DAWSON RD,
Singapore Psychiatric Association,GEYLANG BAHRU,
Public Accountants Board,HAVELOCK RD,
Public Defender's Office,HENDERSON RD,
Singapore Public House Owners' Association,JLN DUA,
Public Relations Office,LOR 4 TOA PAYOH,
Public Service Commission,PAYA LEBAR WAY,
Public Service Division,TELOK BLANGAH ST 31,
Public Transport Council,WHAMPOA DR,
Public Utilities Board,C'WEALTH DR,
Public Works Department,JLN DUA,
Building Control Division,LOR 4 TOA PAYOH,
Singapore Quality Institute,TELOK BLANGAH ST 31,
Singapore Sports School,TELOK BLANGAH ST 31,
Singapore Rattan Industry Association,TELOK BLANGAH ST 31,
Singapore Rattan Workers' Union,HOUGANG ST 91,
Singapore Red Cross Society,JURONG WEST ST 92,
Singapore Refining Company,TAMPINES ST 91,
Singapore Refining Company Employees' Union,YISHUN CTRL 1,
Registry of Businesses,HOUGANG ST 91,
Registry of Co-operative Societies,JURONG WEST ST 92,
Registry of Companies,TAMPINES ST 91,
Registry of Companies and Businesses,YISHUN CTRL 1,
Registry of Muslim Marriages,HOUGANG ST 91,
Registry of Mutual Benefit Organisations,HOUGANG AVE 9,
Registry of Trade Marks and Patents,JURONG WEST ST 92,
Registry of Trade Unions,TAMPINES ST 91,
Registry of Vehicles,YISHUN CTRL 1,
Singapore Reinsurers Association,HOUGANG AVE 9,
Rendel Commission,HOUGANG AVE 9,
Singapore Repertory Theatre,HOUGANG AVE 9,
Singapore Retailers Association,HOUGANG AVE 9,
Singapore Rifle Association,JURONG WEST ST 91,
Singapore RollerSports Federation,TAMPINES ST 91,
Singapore Rowing Association,HOUGANG AVE 9,
Singapore Rural Board,JURONG WEST ST 91,
Singapore’s Club Ecstasy,TAMPINES ST 91,
Singapore Sailing Federation,YISHUN CTRL 1,
Singapore Sand Quarry Association,JURONG WEST ST 91,
Singapore Sawmillers' Association,TAMPINES ST 91,
Singapore School & Private Hire Bus Owners' Association,YISHUN CTRL 1,
Singapore School Canteen Vendors Association,HOUGANG ST 92,
Singapore School for the Blind,JURONG WEST ST 91,
Singapore School for the Visually Handicapped,TAMPINES AVE 5,
Ministry of Education/Schools Division,HOUGANG ST 92,
Singapore Science Centre,JURONG WEST ST 91,
Singapore Scout Association,TAMPINES AVE 5,
Singapore Seah Clan Association,HOUGANG ST 92,
Select Committee on Deliberate Online Falsehoods,JURONG WEST ST 91,
Singapore Senior Citizen Calligraphy University Centre,TAMPINES AVE 5,
Singapore Sepak Raga Federation,HOUGANG ST 92,
Singapore Sepaktakraw Federation,JURONG WEST ST 91,
Singapore Shaw Chyun Athletic Association,TAMPINES AVE 5,
Singapore Shell Employees' Union,C'WEALTH DR,
Singapore Shin Neng Fellow Country-men Association,DAWSON RD,
Singapore Shipbuilding & Engineering,GEYLANG BAHRU,
Singapore Shipping Association,HAVELOCK RD,
Singapore Shooting Association,LOR 4 TOA PAYOH,
The Singapore Shun Tak Nam Phu Lee Heng Sheng Thong,PIPIT RD,
Singapore Si Xing Guan,WHAMPOA DR,
Singapore Sindhi Association,BEDOK NTH AVE 4,
Singapore Sinhala Association,DAWSON RD,
Singapore Ski & Snowboard Association,WHAMPOA DR,
Singapore Slingers,BEDOK NTH AVE 4,
Smart Nation and Digital Government Office,BEDOK NTH AVE 4,
Singapore Snowboarding and Skiing Association,BEDOK NTH AVE 4,
Social Development Network,BEDOK NTH AVE 4,
Social Development Section,HOUGANG ST 92,
Social Development Service,JURONG WEST ST 91,
Social Development Unit,TAMPINES AVE 5,
Social Integration Management Service,HOUGANG ST 92,
Social Promotion Section,JURONG WEST ST 91,
Social Welfare Department,TAMPINES AVE 5,
Singapore Society for Head & Neck Cancer Surgery,HOUGANG ST 92,
Singapore Society for Microbiology,HOUGANG ST 92,
Singapore Society for Microbiology and Biotechnology,JURONG WEST ST 91,
Singapore Society of Architects,TAMPINES AVE 5,
Singapore Society of Asian Studies,HOUGANG ST 92,
Singapore Softball Association,JURONG WEST ST 91,
Singapore Soka Association,TAMPINES AVE 5,
Special Branch,HOUGANG ST 92,
Special Committee on Airport Development,JURONG WEST ST 91,
Special Committee to Advise on Parking Problems,TAMPINES AVE 5,
Singapore Sporting Club,HOUGANG ST 92,
Singapore Sports Council for the Disabled,JURONG WEST ST 91,
Singapore Sports Council for the Handicapped,TAMPINES AVE 4,
Singapore Sports Museum,HOUGANG ST 92,
Singapore Squash Rackets Association,JURONG WEST ST 91,
Singapore Stamp Club,TAMPINES AVE 4,
Singapore Standards Council,HOUGANG ST 92,
State Courts,JURONG WEST ST 91,
Singapore Stockbrokers' Association,JURONG WEST ST 91,
Singapore Structural Steel Society,JURONG WEST ST 91,
Subordinate Courts,ALJUNIED CRES,
Supreme Court,BEDOK NTH AVE 4,
Survey Department,C'WEALTH DR,
Singapore Sustainability Academy,DAWSON RD,
Singapore Swimming Association,GEYLANG BAHRU,
Singapore Symphony Group,HAVELOCK RD,
Singapore Symphony Children's Choir,HENDERSON RD,
Singapore Symphony Chorus,LOR 4 TOA PAYOH,
Singapore Symphony Orchestra,OLD AIRPORT RD,
Singapore Table Tennis Association,WHAMPOA DR,
Singapore Tae Kwon-Do Gymnasium,DAWSON RD,
Singapore Taekwondo Federation,HENDERSON RD,
Singapore Tamil Teachers' Union,OLD AIRPORT RD,
Singapore Youth Symphony Orchestra,HENDERSON RD,
Singapore Tamil Youths' Club,HENDERSON RD,
Singapore Taxi Academy,HENDERSON RD,
Singapore TCM Organisations Coordinating Committee,HOUGANG ST 91,
Singapore Tea Importers and Exporters Association,JURONG WEST ST 91,
Singapore Teachers’ Art Society,HOUGANG AVE 9,
Singapore Teachers' Choir,TAMPINES ST 96,
Singapore Teachers' Co-operative Society,TAMPINES ST 96,
Singapore Technologies Aerospace,TAMPINES ST 96,
Singapore Technologies Industrial Corporation,TAMPINES ST 96,
Singapore Technologies Pte Ltd,HOUGANG AVE 9,
Singapore Technologies Ventures,JURONG WEST ST 91,
Singapore Telecom,TAMPINES ST 96,
Singtel,TAMPINES ST 96,
Singapore Telephone Board,TAMPINES ST 96,
Singapore Tenkasi Muslim Welfare Society,TAMPINES ST 96,
Singapore Tennis Association,HOUGANG AVE 9,
Singapore Teo Ann Lien Ngee Seah,JURONG WEST ST 91,
Singapore Teochew Sim Clan Association,TAMPINES ST 96,
Singapore Textiles and General Merchants Employees' Union,TAMPINES ST 96,
Singapore Thamizhar Eyakkam,TAMPINES ST 96,
Singapore Timber Association,TAMPINES ST 96,
Singapore Timber Exporters' Association,HOUGANG AVE 9,
Singapore Timber Manufacturers' Association,TAMPINES ST 96,
Singapore Tourism Board,TAMPINES ST 96,
Singapore Tourist Promotion Board,TAMPINES ST 96,
Singapore Traction Company Employees' Union,TAMPINES ST 96,
Trade Development Board,TAMPINES ST 96,
Singapore Trades Union Congress,HOUGANG AVE 9,
Traffic Police Department,HOUGANG AVE 9,
Tripartite Committee on Employability of Older Workers,HOUGANG ST 91,
Tripartite Committee on Work-Life Strategy,HOUGANG ST 91,
Singapore Turf Club,HOUGANG ST 91,
Singapore Turf Club (1924-1988),HOUGANG ST 91,
Singapore Tyler Print Institute,JURONG WEST ST 92,
Singapore Union of Broadcasting Employees,ALJUNIED CRES,
Singapore United Party,BEDOK NTH AVE 4,
Singapore University of Social Sciences,C'WEALTH CRES,
Singapore University of Technology and Design,DAWSON RD,
Singapore University Press,GEYLANG BAHRU,
Singapore Urban Redevelopment Authority Workers Union,HAVELOCK RD,
Singapore Urological Association,HENDERSON RD,
Singapore Veterinary Association,LOR 3 TOA PAYOH,
Vocational and Industrial Training Board,WHAMPOA DR,
Singapore Vocational Institute,DAWSON RD,
Singapore Volunteer Artillery,HENDERSON RD,
Singapore Volunteer Corps,HENDERSON RD,
Singapore Watercolour Society,HOUGANG AVE 9,
Singapore Waterski & Wakeboard Federation,JURONG WEST ST 92,
Wee Chong Jin Commission,TAMPINES ST 96,
Singapore Weightlifting Federation,TAMPINES ST 96,
Singapore Weiqi Association,HOUGANG AVE 9,
Singapore Women Physical Education Teachers Society,JURONG WEST ST 92,
Singapore Women's Association,TAMPINES ST 96,
Singapore Women's Everest Team,TAMPINES ST 96,
Singapore Women’s Hockey Association,TAMPINES ST 96,
Singapore Women's Netball Association,HOUGANG AVE 9,
Singapore Work Brigade,JURONG WEST ST 91,
Workforce Development Agency,HOUGANG AVE 9,
Workplace Safety and Health Council,JURONG WEST ST 91,
Singapore Wushu Dragon & Lion Dance Federation,TAMPINES ST 96,
Singapore Yacht Club,HOUGANG AVE 9,
Singapore Yen Leng Association,JURONG WEST ST 91,
Singapore Yen Peng Wui Kuan,TAMPINES ST 96,
Singapore Yong Sze Association,TAMPINES ST 96,
Singapore Youth Chinese Orchestra,TAMPINES ST 96,
